compound_id,pec50
OADMET-0006132,5.465
OADMET-0006131,5.495
OADMET-0006129,5.44
OADMET-0006128,5.335
OADMET-0006125,5.470000000000001
OADMET-0006123,2.56
OADMET-0006121,5.195
OADMET-0006120,4.725
OADMET-0006119,3.955
OADMET-0006117,4.92
OADMET-0006116,4.485
OADMET-0006115,5.27
OADMET-0006113,4.800000000000001
OADMET-0006111,5.31
OADMET-0006108,2.56
OADMET-0006105,5.905
OADMET-0006103,3.765
OADMET-0006102,4.955
OADMET-0006100,5.234999999999999
OADMET-0006096,2.49
OADMET-0006094,5.165
OADMET-0006092,5.795
OADMET-0006091,4.9399999999999995
OADMET-0004676,5.085
OADMET-0004675,4.895
OADMET-0004674,4.995
